ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
26410,31.6,4.3,725,5.24,1991,120,1.001,0.4,1,0,0
26780,3.557,15.3,5328,18.96,2004,90,1.05,0.6,1,0,0
26814,9.991,8.9,5358,21.11,1995,250,2.2,0.64,1,0,0
26824,7.108,8.82,2492,20.11,1997,250,1,0.6,1,0,0
26835,9.991,8.9,5358,21.11,1995,250,2.2,0.64,1,0,0
26841,9.991,8.9,5358,21.11,1995,250,2.2,0.64,1,0,0
26852,9.991,8.9,5358,21.11,1995,250,2.2,0.64,1,0,0
26858,4.644,13.2,5639,21.25,1995,250,1.29,0.64,1,0,0
26887,7.108,8.82,2492,20.11,1997,250,1,0.6,1,0,0
26892,4.644,13.2,5639,21.25,1995,250,1.29,0.64,1,0,0
27044,3.719,18,11162,18.97,2000,160,1,0.77,1,16.9155,0
27087,5.517,14.1,7840,16.08,1997,140,1.15,0.8,1,0,0
27162,4.799,16.14,12719,20.08,1984,100,1,0.87,1,0,0
27196,7.337,9.6,2685,14.49,1994,130,1,0.55,1,26.01,0
27393,6.699,8.4,1247,13.77,1993,120,1.17,0.4,1,0,0
27422,4.606,12.35,3046,15.23,1992,130,1.1,0.48,1,31.14,0
27423,5.479,12.8,4131,12.65,1984,120,1.056,0.63,1,0,1
27489,5.698,12,4903,17.97,1999,140,1.3,0.57,1,1.2996,0
27582,19.829,7,3654,9.55,1997,90,0.979,0.51,1,0,0
27709,5.497,13.25,5737,15.2,1990,120,1.13,0.7,1,0,0
27928,4.942,11.5,2914,16.83,1993,100,1.05,0.5,1,2.7,0
27967,9.819,7.18,1456,14.02,1993,130,1,0.4,1,0,0
28026,9.819,7.18,1456,14.02,1993,160,1,0.4,1,0,0
28069,9.388,6,500,10.8,1974,150,0.936,0.32,1,0,1
28138,4.174,17.3,11476,18.14,1993,120,1.24,0.84,1,0,0
28140,5.474,13.13,7905,21.9,1991,80,1,0.65,1,0,0
28141,6.095,11.95,8955,29.17,1981,130,1.195,0.56,1,2.7,0
28153,8.328,14.1,13000,11.7,1967,100,1.137,1,1,0,0
28199,7.52,11.1,4464,12.83,1951,90,1,0.68,1,3.6,0
28231,4.382,14.73,6632,18.1,1989,140,1.04,0.7,1,7.74,0
28425,11.33,7.6,1772,10.21,1941,120,0.959,0.44,1,0,0
28476,7.151,9,2014,14.81,1993,120,1.2,0.48,1,0,0
28663,7.199,9,2041,14.81,1993,120,1.2,0.48,1,0,0
28675,5.342,10.5,2088,14.85,2001,80,1,0.45,1,0,0
28703,7.142,9.73,2685,14.49,1994,130,1,0.55,1,26.01,0
29011,7.508,9.49,2685,14.49,1994,130,1,0.55,1,26.01,0
29054,9.368,9.39,2685,9.71,1994,130,1,0.55,1,26.01,0
29190,4.978,11.5,2863,16.3,1993,100,1.05,0.5,1,2.7,0
29310,4.641,12.35,3006,14.8,1992,130,1.1,0.48,1,31.14,0
29375,11.353,6.85,1379,11.99,1992,120,1.1,0.46,1,9.98999999999999,0
29443,6.699,8.4,1247,13.77,1993,120,1.17,0.4,1,0,0
29454,7.636,9.41,2685,14.49,1994,130,1,0.55,1,26.01,0
29509,21.413,7,4078,9.14,1997,90,0.979,0.51,1,0,0
29561,9.388,6,500,10.8,1974,150,0.936,0.32,1,0,1
29647,9.592,6,563,11.65,1975,150,0.95,0.32,1,0,1
29810,3.79,19.21,15235,19.22,1992,140,1.56,0.9,1,9.45,0
29854,10.347,5.75,516,10.88,1992,150,1.1,0.32,1,0,0
30026,5.317,11.84,3422,15.2,1998,140,1.22,0.55,1,29.502,0
30095,8.602,7,620,8.61,1972,160,1.12,0.32,1,0,0
30109,3.622,18,11082,19.85,2000,160,1,0.77,1,16.9155,0
30206,5.479,12.8,4131,12.65,1984,120,1.056,0.63,1,0,1
30437,3.214,20.5,13678,18.5,1993,150,1.16,0.9,1,0,0
30470,10.027,6.8,957,10.985,1974,140,1,0.4,1,0,1
30515,5.517,14.1,7840,16.08,1997,140,1.06,0.8,1,0,0
30575,5.497,13.25,5737,15.2,1990,120,1.13,0.7,1,0,0
30648,4.015,15.7,6805,17.14,2005,160,1.28,0.75,1,0,0
30682,5.371,11.8,3761,16.59,1999,90,1.59,0.59,1,23.481,0
30697,4.782,14.73,6703,15.36,1992,140,1.1,0.7,1,7.74,0
30749,4.634,13.35,5647,20.43,1999,140,1.23,0.6,1,0.279000000000002,0
30843,13.255,6.92,1708,10.46,1959,120,1.27,0.46,1,9.98999999999999,1
30999,14.607,9.4,9047,13.4,1952,130,1.36,0.82,1,0,0
31000,14.607,9.4,9047,13.4,1952,130,1.36,0.82,1,0,0
31007,16.629,3.4,130,8.68,1976,110,0.87,0.2,1,0,0
