n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB
10.627,10.2,8532,17.22,1936,100,1.25,2
10.069,10.2,9643,21.68,1936,100,1.25,2
30.294,3.8,736,9.49,1908,130,0.954,2
30.294,3.8,736,9.49,1908,130,0.954,2
21.515,4.5,887,11.53,1912,130,1.05,2
23.336,4.8,1079,9.21,1929,130,1.49,2
23.336,4.8,1079,9.21,1929,130,1.49,2
23.336,4.8,1079,9.21,1929,130,1.49,2
15.686,4.95,567,9.47,1912,140,1.18,2
16.13,5.1,1003,14.06,1934,140,1.18,2
9.967,6,540,10.35,2017,160,1.13,2
9.967,6,540,10.35,2017,160,1.13,2
15.094,5.4,738,9.4,1957,160,0.85,2
15.094,5.4,738,9.4,1957,160,0.85,2
15.824,6.2,1729,11.53,1950,130,1.03,2
15.691,6.2,1678,11.38,1950,130,1.03,2
16.456,5.9,1294,9.73,1948,130,1.28,2
16.456,5.9,1294,9.73,1948,130,1.28,2
13.639,6,937,9.59,1927,130,1.12,2
13.639,6,937,9.59,1927,130,1.12,2
8.951,5.8,310.9,8.46,1984,160,1.21,2
8.951,5.8,310.9,8.46,1984,160,1.21,2
15.989,5.94,1526,11.83,1955,160,1.18,2
15.989,5.94,1526,11.83,1955,160,1.18,2
14.609,5.5,691,8.73,1983,160,1.057,2
14.539,5.5,878,11.2,1983,160,1.66,2
9.328,5.36,255,8.76,1988,130,1,2
9.328,5.36,255,8.76,1988,130,1,2
18.579,6,3316,18.29,1995,160,1.01,2
18.302,6,4330,24.61,1995,160,1.01,2
31.792,4,905,8.63,1907,160,1.07,2
17.644,5.45,1053,9.46,1950,110,1.05,2
9.591,5.7,440,11.18,1988,160,1.16,2
9.591,5.7,440,11.18,1988,160,1.16,2
9.823,5.9,326,6.88,1994,80,0.97,2
10.031,5.9,294,5.95,1994,80,0.97,2
10.031,5.9,294,5.95,1994,80,0.97,2
9.809,5.9,327,6.92,1994,80,0.97,2
28.867,4.3,1441,12.48,1953,160,1.04,2
28.867,4.3,1441,12.48,1953,160,1.04,2
4.415,14.73,5572,14.98,1991,140,1.026,2
4.415,14.73,5572,14.98,1991,140,1.026,2
62.434,4,4198,10.38,1951,140,0.872,2
62.434,4,4198,10.38,1951,140,0.872,2
3.413,16.45,5876,17,1993,160,1.139,2
3.413,16.45,5876,17,1993,160,1.139,2
23.336,4.8,1079,9.21,1929,130,1.49,2
21.515,4.5,887,11.53,1912,130,1.05,2
6.265,10.6,2802,13.95,1988,160,1.928,2
30.294,3.8,736,9.49,1908,130,0.954,2
3.408,16.3,6313,19,2002,160,1.154,2
6.325,7,545,14,1994,160,1.038,2
30.294,3.8,736,9.49,1908,130,0.954,2
35.145,3.6,639,7.6,1963,140,0.863,2
30.294,3.8,736,9.49,1908,130,0.954,2
10.702,9.3,3948,11.37,1934,120,1.06,2
4.672,9.87,1188,14.15,1990,120,1.01,2
30.294,3.8,736,9.49,1908,130,0.954,2
8.82,10.75,6707,15.93,1950,100,1.36,2
62.952,3.8,3071,9.17,1962,130,0.976,2
62.952,3.8,3071,9.17,1962,130,0.976,2
4.591,9.87,994,12.26,1990,120,1.01,2
3.036,21.5,15586,19.52,1987,150,1.16,2
4.572,16.58,12751,19.92,1974,160,2.211,2
4.572,16.58,12751,19.92,1974,160,2.211,2
10.743,9.3,3653,10.44,1934,120,1.06,2
8.82,10.75,6707,15.93,1950,100,1.36,2
21.047,4.5,572,7.77,1902,160,0.77,2
14.46,6.6,1378,8.57,1912,160,1.047,2
3.691,19.5,15586,19.52,1987,150,1.25,2
21.047,4.5,572,7.77,1902,160,0.77,2
18.72,5,980,11.04,1926,120,1.13,2
23.336,4.8,1079,9.21,1929,130,1.49,2
30.294,3.8,736,9.49,1908,140,0.954,2
12.558,8.7,5994,16.37,1931,130,1.35,2
18.72,5,980,11.04,1926,120,1.13,2
21.515,4.5,887,11.53,1912,140,1.05,2
30.294,3.8,736,9.49,1908,140,0.954,2
12.754,8.7,9027,23.9,1931,130,1.35,2
22.509,4.9,1153,9.74,1930,120,1.02,2
22.661,4.9,1153,9.61,1930,120,1.02,2
5.869,11.5,4104,16.81,1978,110,1.04,2
5.869,11.5,4104,16.81,1978,110,1.04,2
15.546,6.5,2626,15.02,1904,140,0.96,2
18.682,5.5,1715,13.25,1904,140,0.93,2
24.34,4.54,1220,11.96,1904,140,0.79,2
17.118,6.64,3151,13.65,1904,140,0.915,2
17.159,6.54,3388,15.52,1903,140,0.88,2
9.771,7.9,2155,14.3,1937,120,1.1,2
4.174,17.3,11476,18.14,1993,120,1.24,2
4.382,14.73,6632,18.1,1989,140,1.04,2
18.558,5.5,2363,18.5,1904,140,0.67,2
16.779,6.5,2713,13.32,1903,140,0.826,2
7.151,9,2014,14.81,1993,120,1.2,2
7.199,9,2041,14.81,1993,120,1.2,2
18.702,5.5,1947,15.01,1904,140,0.82,2
14.46,6.6,1378,8.57,1912,160,1.047,2
18.494,4.8,911,12.38,1937,120,1.14,2
18.616,5.55,1707,12.81,1904,140,0.74,2
46.488,2.4,383,13.18,1904,130,0.747,2
18.482,4.8,998,13.58,1937,120,1.14,2
3.79,19.21,15235,19.22,1992,140,1.56,2
9.77,7.9,1965,13.04,1937,120,1.1,2
3.214,20.5,13678,18.5,1993,150,1.16,2
4.782,14.73,6703,15.36,1992,140,1.1,2
18.433,5.54,1947,15.01,1904,140,0.69,2
13.255,6.92,1708,10.46,1959,120,1.27,2
42.462,2.7,400,10.3,1965,110,1.5,2
25.504,3.71,446,8.93,1938,140,1.45,2
3.408,16.3,6313,19,2002,160,1.154,2
23.529,6,2812,9.67,1940,150,1.25,2
17.657,6.34,4269,20.91,1908,130,0.81,2
10.82,5.6,546,11.7,1980,140,1.1,2
22.289,6.6,4233,11.08,1950,150,0.99,2
25.547,3.71,453,9.04,1938,140,1.45,2
23.942,3.76,423,9.11,1936,140,1.018,2
22.289,6.6,4233,11.08,1950,150,0.99,2
8.403,6.1,340,8.58,1985,140,1.07,2
8.403,6.1,340,8.58,1985,140,1.07,2
124.769,2.97,8424,17.16,1933,160,1.45,1.999
124.769,2.97,8424,17.16,1933,160,1.45,1.999
11.308,8.6,4618,16.29,1970,140,1,1.999
80.007,2.72,1136,8,1913,80,1.788,1.999
10.368,8.74,5000,19.67,1938,80,1.309,1.999
195.895,2.2,2860,7.85,1903,80,0.936,1.999
22.21,3.7,290,7.74,1939,80,1.257,1.999
25.063,5.1,1898,11.02,1932,120,1.054,1.999
11.738,5.5,535,10.47,1975,160,1.051,1.999
11.71,5.5,535,10.52,1975,160,1.051,1.999
19.342,5,1031,10.88,1900,120,1.041,1.999
19.342,5,1031,10.88,1900,120,0.738,1.999
12.241,6.5,929,8.57,1902,110,0.743,1.999
12.241,6.5,929,8.57,1902,110,0.743,1.999
10.328,6.8,1357,14.68,1976,110,1.375,1.999
27.151,4.2,886,9.53,1923,140,1.216,1.999
21.457,3.4,287,11.51,1901,90,0.695,1.999
19.487,5,480,4.99,1902,70,0.815,1.999
29.437,2.4,67,5.75,2018,130,1.128,1.999
14.897,6.5,1286,8.01,1901,130,0.738,1.999
19.632,5.2,1005,8.8,1926,130,0.96,1.999
19.632,5.2,1005,8.8,1926,130,0.96,1.999
20.389,5.7,1558,8.76,1928,140,0.993,1.999
20.389,5.7,1558,8.76,1928,140,0.993,1.999
25.141,4.36,710,7.67,1906,160,1.142,1.999
21.916,4.5,629,7.88,1904,130,0.937,1.999
7.349,10,3261,14.9,1979,160,1.34,1.999
15.97,6.7,2037,9.78,1911,100,1.112,1.999
27.04,5,1489,8.04,1904,130,0.949,1.999
14.41,6.2,1956,15.73,1934,100,1.302,1.999
35.505,4,1682,12.86,1934,160,1.401,1.999
25.141,4.36,710,7.67,1906,160,1.142,1.999
21.735,4.5,749,9.54,1904,130,0.937,1.999
26.626,5,1785,9.94,1904,130,0.949,1.999
19.602,5.4,1687,12.74,1967,100,2.12,1.999
21.872,4,539,10.86,1907,100,1.172,1.999
7.349,10,3261,14.9,1979,160,1.34,1.999
15.306,7.5,4476,14.9,1934,140,1.77,1.999
19.051,5.42,1178,9.28,1909,130,0.939,1.999
19.366,5.42,1498,11.42,1909,130,0.939,1.999
15.306,7.5,4476,14.9,1934,140,1.77,1.999
11.033,6,837,13.09,1976,120,1.893,1.999
34.053,3.7,813,9.23,1927,120,1.222,1.999
13.879,6.2,1442,12.5,1976,120,1.775,1.999
11.548,8.28,3701,14.57,1930,140,1.384,1.999
11.548,8.28,3701,14.57,1930,140,1.384,1.999
11.998,6.7,1479,12.58,1976,120,1.156,1.999
34.053,3.7,813,9.23,1927,120,1.222,1.999
4.843,31,288002,32.81,2004,140,1.999,1.999
4.573,31.9,297933,33.94,2004,140,1.999,1.999
8.864,10.8,4146,9.57,1914,90,1.685,1.999
8.864,10.8,4146,9.57,1914,90,1.685,1.999
5.465,10.4,2355,16.63,1978,140,1.596,1.999
10.463,7.5,2051,14.61,1910,80,1.176,1.999
5.465,10.4,2355,16.63,1978,120,1.596,1.999
12.138,9.8,9583,17.4,1931,100,1.521,1.999
14.845,6,2010.8,17.372,1909,80,0.84,1.999
5.465,10.4,2355,16.63,1978,120,1.596,1.999
4.516,17.13,12781,17.96,1972,130,1.016,1.999
4.584,17.13,15211,20.74,1972,130,1.016,1.999
4.669,15.2,7833,16.61,1985,160,1.08,1.999
4.669,15.2,7833,16.61,1985,160,1.08,1.999
10.106,5,372,14.38,1971,160,1.583,1.999
11.378,7,1620,12.86,1935,160,1.198,1.999
17.295,6.8,3012,11.62,1921,140,0.952,1.999
12.564,7.27,2089,11.69,1909,160,1.026,1.999
18.331,5.5,982,7.88,1907,130,0.849,1.999
16.851,5.5,1110,10.54,1908,160,0.922,1.999
7.317,7,732,14.05,1981,160,1.594,1.999
11.546,4.5,220,9.93,1975,140,1.06,1.999
5.849,10.5,2536,15.05,1988,160,1.266,1.999
4.94,16.74,15010,19.33,1976,140,1.05,1.999
18.696,6.3,2457,11.01,1928,140,1.197,1.999
10.159,11.2,17614,26.76,1936,160,1.512,1.999
14.234,6.5,1586,10.82,1902,120,0.66,1.999
10.857,4.5,220,11.23,1975,140,1.06,1.999
17.856,5,890,11.02,1909,160,0.925,1.999
4.94,16.74,15010,19.33,1976,140,1.05,1.999
20.648,6.25,3947,14.97,1933,140,1.521,1.999
12.563,7.27,2498,13.98,1909,160,1.026,1.999
14.979,7.2,3590,14.69,1940,140,1.14,1.999
16.851,5.5,1110,10.54,1908,160,0.922,1.999
13.375,5.1,541,11.03,1925,200,0.897,1.996
13.375,5.1,541,11.03,1925,200,0.897,1.996
3.766,15.3,4520.9,14.35,1985,160,1.03,1.99
3.766,15.3,4520.9,14.35,1983,160,1.03,1.99
4.771,14.45,7128,17.72,2005,150,1.18,1.99
3.146,18.97,9617,18.51,2005,150,1.06,1.99
14.452,6.8,1705,9.42,1946,150,0.78,1.99
14.452,6.8,1705,9.42,1946,150,0.78,1.99
36.262,5.5,6532,13.395,1927,160,1.251,1.99
36.262,5.5,6532,13.395,1927,160,1.251,1.99
36.262,5.5,6532,13.395,1927,160,1.251,1.99
36.262,5.5,6532,13.395,1927,160,1.251,1.99
6.232,7.5,508,10.2,1980,160,1.47,1.99
6.232,7.5,508,10.2,1980,160,1.47,1.99
4.611,12.52,3373,15.93,2003,200,1,1.99
9.256,6.5,1177,18.99,1904,120,0.87,1.99
14.13,6.92,2848.3,15.35,1928,110,1.09,1.99
13.024,7.15,2612.3,14.54,1935,130,1.2,1.99
18.727,5.7,1977.4,13.179,1960,130,0.98,1.99
22.506,5.2,1776.4,11.835,1908,130,0.98,1.99
2.786,16,15301,74.21,1996,140,1.2,1.99
4.654,12.5,3977,18.56,2003,200,1.1,1.99
5.444,12.68,3415,11,1905,80,0.88,1.99
4.771,14.45,7128,17.72,1987,150,1.18,1.99
3.146,18.97,9617,18.51,1987,150,1.06,1.99
16.443,5,810.2,11.83,2002,120,2.13,1.99
8.863,7.6,1677,15.79,1971,130,0.79,1.99
38.288,3.7,1285,11.54,1922,130,1.37,1.99
4.504,14.5,6721,18.49,1973,140,1.31,1.99
16.443,5,810.2,11.83,2002,120,2.13,1.99
4.538,14.5,6983,18.93,1973,140,1.31,1.99
14.952,6.7,3208,17.57,1936,160,1.36,1.99
115.1,2.75,3169,10.32,1933,160,1.066,1.985
115.1,2.75,3169,10.32,1933,160,1.066,1.985
12.842,7.15,2384.3,13.65,1935,120,1.2,1.98
17.309,5.8,1484,10.8,1950,140,1.01,1.98
3.968,17.6,11236,18.35,2003,140,1.41,1.98
17.309,5.8,1484,10.8,1950,140,1.01,1.98
7.588,7.15,616,10.1,1972,160,0.89,1.977
29.13,3.6,439,7.6,1904,140,1.078,1.972
12.986,7,1175,7.16,1928,140,1.04,1.97
9.411,6.6,756,11.1,1975,160,0.89,1.97
5.546,12.9,4364,12.64,1983,160,1.076,1.97
20.577,4.7,834,9.96,1997,130,1.67,1.97
20.577,4.7,834,9.96,1997,130,1.67,1.97
17.245,4.8,476,7.44,1930,160,1.13,1.97
17.245,4.8,476,7.44,1930,160,1.13,1.97
30.791,4.2,1204,10.07,1938,130,2.037,1.969
49.179,2.6,314,7.01,1924,140,0.861,1.969
49.179,2.6,314,7.01,1924,140,0.861,1.969
16.2,5.7,887,7.9,1958,160,0.932,1.965
15.106,7.7,2942,9.05,1906,160,0.905,1.963
14.492,7.7,2690,8.99,1906,160,0.905,1.963
15.959,5.4,1105,12.59,1937,160,1.167,1.962
15.999,5.4,1100,12.47,1937,160,1.167,1.962
5.43,12.9,4609,13.93,1983,160,1,1.96
14.232,8.1,3378,9.56,1912,140,1.42,1.96
14.232,8.1,3378,9.56,1911,140,1.42,1.96
32.144,2.5,353,21.58,1905,140,0.837,1.957
19.102,4.7,832,11.53,1988,160,1.951,1.951
19.102,4.7,832,11.53,1988,160,1.951,1.951
12.986,7,1175,7.16,1928,140,1.02,1.95
8.407,8.28,1885,14,1998,200,3.13,1.95
8.528,8.28,1826,13.18,1998,200,3.13,1.95
26.227,4.5,1108.9,9.7,1959,150,1.08,1.95
26.227,4.5,1108.9,9.7,1959,150,1.08,1.95
13.773,5.7,861,10.61,1971,160,0.883,1.95
50.064,3.4,1462,10.77,1935,100,0.879,1.944
45.338,3.4,796,7.15,1919,100,0.879,1.944
2.598,22,11038,17.22,1894,80,1.94,1.94
18.485,6,2180.7,12.15,1933,140,1.213,1.934
18.485,6,2180.7,12.15,1933,140,1.213,1.934
6.162,12.6,8649,22.3,1991,200,1.93,1.93
6.022,12.6,8303,22.41,1991,200,1.93,1.93
8.727,6.7,793.1,12.75,1989,150,1.38,1.93
8.727,6.7,793.1,12.75,1989,150,1.38,1.93
11.58,5.7,652.9,11.38,1974,160,0.88,1.93
11.58,5.7,652.9,11.38,1974,160,0.88,1.93
7.852,7.2,869,12.94,1986,160,1.11,1.92
7.852,7.2,869,12.94,1986,160,1.11,1.92
22.118,5,1000,8.07,1904,100,0.78,1.92
21.662,5,983,8.27,1933,160,1.155,1.919
18.116,5.4,1010,8.93,1937,150,1.144,1.915
18.116,5.4,1010,8.93,1937,150,1.144,1.915
38.486,3.3,766,10.76,1935,160,0.78,1.91
30.057,3.3,297,6.84,1935,160,0.78,1.91
30.7,4,578.9,5.92,1928,140,0.715,1.909
15.498,6.5,1696,9.76,1934,160,0.866,1.901
15.05,6.5,1696,10.35,1934,160,0.866,1.901
63.058,4.85,11984,13.44,1926,130,1.3,1.9
63.058,4.85,11984,13.44,1926,130,1.3,1.9
25.714,4.1,549,7.25,1925,160,1.29,1.9
25.714,4.1,549,7.25,1925,160,1.29,1.9
3.714,16.65,6808,15.85,1986,140,1.944,1.9
3.808,16.65,7323,16.21,1986,140,1.944,1.9
13.393,5.2,556,10.46,1975,200,0.99,1.9
13.393,5.2,556,10.46,1975,200,0.99,1.9
19.35,5,975,10.28,1969,160,0.982,1.9
21.268,3.6,307,9.97,1937,160,1.29,1.9
21.268,3.6,307,9.97,1937,160,1.29,1.9
21.268,3.6,307,9.97,1937,160,1.29,1.9
21.268,3.6,307,9.97,1937,160,1.29,1.9
45.644,2.3,323,13.67,1911,130,0.887,1.9
43.876,3.4,1003,9.62,1961,140,0.883,1.9
10.136,6.1,648,11.24,1985,140,1.09,1.9
10.136,6.1,648,11.24,1985,140,1.09,1.9
45.511,6.1,13308,11.45,1926,130,1.64,1.9
45.511,6.1,13308,11.45,1926,130,1.64,1.9
49.994,5.6,10719,10.76,2010,150,1.9,1.9
49.994,5.6,10719,10.76,1924,150,1.9,1.9
45.644,2.3,323,13.67,1911,130,0.887,1.9
9.388,6,500,10.8,1974,150,0.936,1.9
23.667,4,512,8.81,1938,130,1.1,1.9
9.388,6,500,10.8,1974,150,0.936,1.9
9.592,6,563,11.65,1975,150,0.95,1.9
23.667,4,512,8.81,1938,130,1.1,1.9
8.786,5.35,315,12.29,1988,130,0.96,1.9
12.766,8,4442,16.42,1932,160,1.27,1.9
15.742,6,1601,12.3,1959,140,1.1,1.9
36.38,2.65,346,13.08,1912,130,0.99,1.9
15.848,6,1649,12.5,1959,140,1.1,1.9
13.116,9,5466,11.95,1927,140,1.899,1.899
13.116,9,5466,11.95,1927,140,1.899,1.899
13.116,9,5466,11.95,1927,120,1.899,1.899
37.855,2.9,276,6.719,1926,80,0.864,1.893
37.855,2.9,276,6.719,1926,80,0.864,1.893
7.49,10.48,4525,16.5,2001,200,1.89,1.89
7.469,10.48,4500,16.5,2001,200,1.89,1.89
12.242,5.32,433,8.9,1984,160,1.88,1.88
21.14,5,1218,10.76,1938,140,1.23,1.874
21.381,5,1158,10,1938,140,1.23,1.874
12.986,7,1175,7.16,1928,160,1.01,1.87
12.986,7,1175,7.16,1928,160,1.01,1.87
72.522,2.4,1582,22.37,1913,130,1.055,1.86
10.997,10.45,75572,129.3,1935,110,1.14,1.86
15.545,5.9,1157,9.75,1930,130,1.102,1.856
15.545,5.9,1157,9.75,1930,130,1.102,1.856
23.881,4.35,672,8.12,1907,130,1.278,1.855
25.41,4.35,743,7.93,1907,130,1.278,1.855
30.688,3.2,385,9.62,1934,110,1.145,1.851
15.794,5.8,937,8.19,1933,200,0.91,1.85
15.794,5.8,937,8.19,1933,200,0.91,1.85
15.794,5.8,937,8.19,1933,200,0.91,1.85
15.794,5.8,937,8.19,1933,200,0.91,1.85
11.38,6.2,1023,13.19,1976,140,1.04,1.85
11.793,5.5,571,11.07,1971,160,1.16,1.85
11.793,5.5,571,11.07,1971,160,1.16,1.85
5.914,13.43,8614.5,18.68,2003,200,1.85,1.85
19.536,5.2,691,6.11,1997,130,1.39,1.85
19.536,5.2,691,6.11,1997,130,1.39,1.85
5.914,13.43,8614.5,18.68,2003,200,1.85,1.85
10.293,6.8,807,8.79,1966,120,0.975,1.838
10.293,6.8,807,8.79,1966,120,0.975,1.838
51.022,3.2,1051,9.5,1934,140,0.765,1.833
48.405,3.2,936,9.4,1934,140,0.765,1.833
22.757,4.6,536.6,5.71,1910,130,1.364,1.832
17.359,5.45,1015,9.42,1950,110,0.857,1.83
18.19,5,958,11.43,1939,160,1.07,1.83
18.19,5,958,11.43,1939,160,1.07,1.83
9.513,6,616,12.96,1978,150,1.04,1.83
6.43,15.1,16559,19.01,1976,120,1.38,1.83
6.43,15.1,16559,19.01,1976,120,1.38,1.83
9.513,6,616,12.96,1978,150,1.04,1.83
9.823,6.6,869,11.71,1993,200,1.82,1.82
23.5,4.1,444,7.02,1926,150,0.84,1.82
23.5,4.1,444,7.02,1926,150,0.84,1.82
9.823,6.6,869,11.71,1993,200,1.82,1.82
6.395,8.9,1226,11.79,2003,140,1.735,1.82
6.335,8.9,1245,12.2,2003,140,1.735,1.82
4.383,27.5,21956.44,4.93,1998,120,1.21,1.81
5.906,13.07,6931,16.804,2002,200,1.809,1.809
39.818,4.8,3759,11.02,1948,160,0.89,1.806
39.818,4.8,3759,11.02,1948,160,0.89,1.806
33.628,2.85,254,8.4,1934,200,1.28,1.8
33.628,2.85,254,8.4,1934,200,1.28,1.8
23.98,4.2,533,7.35,1950,100,0.8,1.8
23.98,4.2,533,7.35,1950,100,0.8,1.8
23.98,4.2,533,7.35,1950,100,0.8,1.8
26.971,5.5,3410,12.64,2011,130,1.19,1.8
16.13,4.16,336,10.64,1983,160,1.2,1.8
16.13,4.16,336,10.64,1983,160,1.2,1.8
12.525,5.4,612,11.32,1973,140,1.21,1.8
12.525,5.4,612,11.32,1973,140,1.21,1.8
6.888,8.07,1013,12.42,1982,160,1.05,1.8
6.888,8.07,1013,12.42,1982,160,1.05,1.8
8.869,8.19,1724,12.02,1983,160,1.17,1.8
8.869,8.19,1724,12.02,1983,160,1.17,1.8
41.036,3.8,1554,10.92,1968,160,1.8,1.8
31.087,3.32,345,7.25,1903,130,0.88,1.8
25.952,3.6,287,6.26,1932,160,1.39,1.8
48.335,2.55,460,11.49,1908,130,0.98,1.8
26.442,3.6,287,6.03,1932,160,1.39,1.8
20.589,4.5,1061,15.06,1918,80,0.912,1.798
61.91,2.2,258,7.09,1926,250,1.06,1.79
16.484,6.2,1375,8.45,1926,140,1.139,1.789
16.484,6.2,1375,8.45,1926,140,1.139,1.789
32.822,3.6,440,6,1917,140,1.231,1.783
32.822,3.6,440,6,1917,140,1.231,1.783
23.075,5.6,4652,21.92,1975,100,1.185,1.774
8.893,7.1,927,11.38,1953,150,0.928,1.772
8.893,7.1,927,11.38,1953,150,0.928,1.772
56.961,4.3,4949.6,11.01,1934,200,1.13,1.77
58.328,4.3,4949.6,10.5,1934,200,1.13,1.77
19.29,5.6,1587,10.7,1969,160,0.915,1.77
19.29,5.6,1587,10.7,1969,160,0.915,1.77
5.585,15.55,11967,16.19,2006,160,1.47,1.77
48.404,3.1,684,7.8,1911,140,1.01,1.77
9.783,11.3,20660,32.67,1912,160,1.77,1.77
35.146,2.46,99,5.4,1928,160,0.782,1.768
21.17,4,465,10,1915,120,1.304,1.762
21.17,4,465,10,1915,120,1.304,1.762
18.442,5.3,856,7.87,1929,160,0.885,1.76
59.098,2.2,317,9.56,1926,250,1.06,1.76
23.831,2.9,119,7.31,1926,100,1.15,1.76
13.148,6.65,1636,11.94,1985,160,1.078,1.75
13.148,6.65,1636,11.94,1985,160,1.078,1.75
42.168,5,3932,8.73,1967,160,1.58,1.75
42.168,5,3932,8.73,1967,160,1.58,1.75
2.556,22.23,14617.5,22.599,1996,160,1.41,1.75
2.545,22,11422,18.58,1895,80,1.75,1.75
43.611,2,74,6,1896,160,0.844,1.748
12.987,6.5,1541,12.63,1963,160,1.249,1.747
12.46,6.5,1541,13.72,1963,160,1.249,1.747
25.31,4.4,795,8.17,1924,160,1.42,1.74
25.31,4.4,795,8.17,1924,160,1.42,1.74
44.93,2.6,292,7.81,1903,130,1.999,1.737
4.795,12.2,3037,14.71,1975,160,1.73,1.73
4.795,12.2,3037,14.71,1975,160,1.73,1.73
21.185,7.9,10528,14.86,1957,160,0.854,1.728
21.185,7.9,10528,14.86,1957,160,0.854,1.728
14.947,4.5,339,9.13,1935,160,1.017,1.726
14.891,4.5,377,10.23,1935,160,1.017,1.726
21.088,4.7,693,7.88,1925,140,1.166,1.726
21.031,4.7,768,8.78,1925,140,1.166,1.726
86.853,2.43,2100,19.7,1999,160,1.29,1.72
12.397,6,620,7.68,1970,80,1.068,1.72
28.031,3.6,345,6.45,1938,130,1.129,1.719
28.031,3.6,345,6.45,1938,130,1.129,1.719
184.402,2.5,6600,12.26,1935,160,0.895,1.713
184.402,2.5,6600,12.26,1935,160,0.895,1.713
5.103,16.49,19251,24.67,1979,140,1.71,1.71
4.977,16.49,14622,19.7,1979,140,1.71,1.71
14.318,5.36,851,12.41,2009,130,2.8,1.71
14.318,5.36,851,12.41,2009,130,2.8,1.71
15.116,4.5,319,8.4,1971,140,0.86,1.71
22.628,4.5,685,8.05,1971,140,0.86,1.71
6.76,9.15,2229,17.17,2014,200,2.15,1.71
14.249,11.5,19689,13.68,1969,120,1.75,1.71
107.422,2.1,734,8.07,1926,150,3.007,1.707
107.422,2.1,734,8.07,1926,150,3.007,1.707
9.298,6.2,496,9.58,1976,160,1.179,1.705
8.95,6.2,496,10.34,1976,160,1.179,1.705
18.764,5.4,1058,8.72,1947,160,1.13,1.701
18.764,5.4,1058,8.72,1947,160,1.13,1.701
4.738,11.57,2475,15.18,1996,200,1.7,1.7
4.738,11.57,2475,15.18,1996,200,1.7,1.7
5.231,14,7626,17.9,1994,160,1.7,1.7
16.395,5.5,1287,12.91,1993,160,1.7,1.7
16.395,5.5,1287,12.91,1993,160,1.7,1.7
5.231,14,7626,17.9,1994,160,1.7,1.7
24.001,4.9,1004,7.46,1931,130,1.27,1.7
24.001,4.9,1004,7.46,1931,130,1.27,1.7
12.729,6,766,9,1976,130,1.28,1.7
77.186,2.6,651,5.9,1925,110,0.97,1.69
14.409,4.9,552,11.38,1984,160,1.33,1.69
14.409,4.9,552,11.38,1984,160,1.33,1.69
29.182,4.8,1986,10.84,1963,130,1.02,1.69
28.337,4.8,2054,11.89,1963,130,1.02,1.69
2.856,24.5,25091,21.07,1995,140,1.06,1.69
2.856,24.5,25091,21.07,1995,140,1.06,1.69
2.593,22,11095,17.38,2004,80,1.69,1.69
56.33,3.5,1841,9.54,1934,140,1.18,1.69
24.167,4,569,9.39,1932,160,1.223,1.684
24.697,4,636,10.05,1932,160,1.218,1.68
24.167,4,569,9.39,1932,120,1.218,1.68
24.697,4,636,10.05,1932,120,1.218,1.68
18.97,5.1,1012.3,10.26,1934,120,1.04,1.68
18.97,5.1,1012.3,10.26,1934,120,1.04,1.68
28.417,3.4,356,8.14,1916,160,0.786,1.676
17.496,4.4,465,10,1915,120,1.043,1.674
17.496,4.4,465,10,1915,120,1.043,1.674
13.135,5.7,1043.3,14.1358,1968,200,1.219,1.672
13.135,5.7,1043.3,14.1358,1968,200,1.219,1.672
10.442,6,465,8.12,1979,140,1.277,1.672
10.053,6,465,8.76,1979,140,1.277,1.672
7.307,7.3,746,12.14,1972,160,1.086,1.67
7.307,7.3,746,12.14,1972,160,1.086,1.67
20.805,3.76,466.7,13.31,1994,200,1.98,1.67
20.75,3.76,402.5,11.54,1994,200,1.98,1.67
17.014,6.2,1907,11,1934,160,1.11,1.67
17.014,6.2,1907,11,1934,160,1.11,1.67
12.348,6.22,826,8.93,1972,140,0.853,1.67
13.99,6.55,1232.2,8.44,1913,140,0.918,1.67
12.348,6.22,826,8.93,1972,140,0.853,1.67
13.99,6.55,1232.2,8.44,1913,140,0.918,1.67
2.448,22.22,12206,20.62,1895,80,1.67,1.67
14.477,5.7,1185.29,13.22,1970,200,1.207,1.664
14.477,5.7,1185.29,13.22,1993,200,1.207,1.664
22.744,6.7,6676,15.802,1941,120,1.2,1.66
22.744,6.7,6676,15.802,1941,120,1.2,1.66
55.385,2.7,553,8.37,1930,150,1.06,1.66
55.385,2.7,553,8.37,1930,150,1.06,1.66
16.072,4,268,10,1917,160,1.208,1.65
4.052,18.53,14222,18.13,1986,160,1.48,1.65
51.168,2.5,366,8.83,1998,150,1.342,1.644
51.168,2.5,366,8.83,1998,150,1.342,1.644
31.899,3,315,9.43,1926,160,0.731,1.643
31.899,3,315,9.43,1926,160,0.731,1.643
14.659,6.2,1521,11.82,1930,200,0.97,1.64
14.76,6.2,1846,14.15,1930,200,0.97,1.64
8.855,7.6,1232,11.62,1978,140,1.16,1.64
4.227,17.94,14879,19.84,1989,160,1.63,1.63
17.865,6.4,2500,11.52,1928,160,1.05,1.63
17.878,6.4,2873,13.22,1928,160,1.05,1.63
16.26,5.5,1009,10.29,1925,130,1.141,1.626
16.26,5.5,1009,10.29,1925,130,1.141,1.626
