ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
19296,16.185,5.5,884,9.1,1950,160,0.994,0.39,1,19.8,1
19297,20.256,5.35,1252,9.19,1928,120,1.033,0.47,1,0.810000000000005,1
19306,6.989,7.7,364,5.23,1893,160,0.94,0.33,0,43.2,0
19312,9.242,6.2,602,11.77,1988,140,1.269,0.32,1,0,0
19316,22.757,4.6,536.6,5.71,1910,130,1.364,0.36,2,0,1
19322,17.583,5.8,1374,9.69,1951,160,0.89,0.47,1,0,1
19327,4.588,15.8,9687,18.22,1985,140,1.034,0.8,1,9.1494,0
19329,17.878,6.4,2873,13.22,1928,160,1.05,0.59,1,0,1
19335,4.524,15.2,8035,18.15,1996,100,0.851,0.75,0,0,0
19347,12.69,7.8,2109,8.73,1925,130,1.053,0.53,1,0,0
19360,2.856,24.5,25091,21.07,1995,140,1.06,1.06,1,0,0
19377,24.454,5.7,2392,9.35,1925,120,0.863,0.62,1,0,0
19387,14.621,5.5,639,8.06,1902,160,0.83,0.43,1,0,0
19389,10.302,8.6,2621,11.14,1950,130,0.81,0.6,0,2.7,0
19412,10.699,7,1731,15.54,1982,140,1.39,0.46,2,0,0
19416,3.785,17.55,9819,17.83,1997,160,1,0.8,1,33.498,0
19417,15.306,7.5,4476,14.9,1934,140,1.77,0.67,1,9,1
19421,22.511,4.5,982,11.66,1906,160,0.93,0.42,1,0,1
19426,21.047,4.5,572,7.77,1902,160,0.77,0.39,1,0,1
19445,13.253,7.65,3635,14.91,1925,120,0.98,0.6,1,37.6605,1
19459,23.954,4,381,6.4,1927,130,0.766,0.29,1,20.7,1
19516,13.252,6.16,1284,12.53,1998,100,1,0.44,1,0,0
