ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB
13542,5.238,14.9,9789,17.86,1993,200,1.093,1.093
15452,11.671,10.25,9366,15.37,1933,160,1.33,1.093
17009,11.703,10.25,9196,15.01,1933,160,1.33,1.093
45977,3.698,19.7,15692,18.8,2004,160,1.108,1.091
55875,3.698,19.7,15692,18.8,2004,160,1.108,1.091
5537,6.163,11.6,3291.98,11.81,1983,160,2.02,1.09
5576,8.071,10.6,10788.9,32.37,1913,150,1.08,1.09
15963,13.59,10.2,35319,43.59,1966,160,1.08,1.09
17932,5.31,11.6,2286,11.05,1983,120,2.02,1.09
18996,5.209,11.6,2373,11.92,1983,120,2.02,1.09
23838,3.191,12.6,1608,15.46,1989,160,1.04,1.09
23884,3.938,18.565,13629,18.25,2006,130,1.09,1.09
23918,6.808,10.8,5295,20.72,1982,140,1.09,1.09
24754,3.191,12.6,1608,15.46,1989,160,1.04,1.09
25092,3.938,18.565,13629,18.25,2006,130,1.09,1.09
36488,8.065,8.12,1232,10.75,1987,130,1.09,1.09
24371,12.352,8,3460,13.66,1968,120,1.095,1.089
26324,12.352,8,3460,13.66,1968,120,1.095,1.089
5104,5.931,12.2,5199,16.46,1991,200,1.052,1.088
5105,5.964,12.2,5053,15.82,1991,200,1.052,1.088
7653,25.07,4,536,8.22,1938,130,1.088,1.088
7654,25.07,4,536,8.22,1938,130,1.088,1.088
20913,18.023,7.8,6174,12.67,1965,160,1.09,1.088
25358,18.023,7.8,6174,12.67,1965,160,1.09,1.088
26444,23.045,7.7,10910.7,14.42,1964,110,1.087,1.087
21336,5.343,12,3303,13.77,1979,120,1.053,1.086
21664,5.343,12,3303,13.77,1979,120,1.053,1.086
16199,5.493,13.95,7187,15.52,1976,110,1.083,1.083
20726,4.814,15.92,12590,20.87,2001,250,1.083,1.083
25091,3.573,21.55,26183,23.47,1987,100,1.7,1.083
25257,3.573,21.55,26183,23.47,1987,100,1.7,1.083
28112,24.002,3.7,354,8.09,1926,90,0.942,1.083
21438,8.732,10.7,5245,12.95,1915,120,1.067,1.082
24091,8.723,10.7,5987,14.81,1915,120,1.067,1.082
15929,4.687,12.35,2829,13.66,1991,120,1.081,1.081
16457,4.687,12.35,2829,13.66,1991,120,1.081,1.081
19287,10.947,6.38,1100,13.67,1999,110,0.859,1.081
26069,73.443,2.2,487,9.51,1935,110,1.066,1.081
2922,12.04,5.6,650,11.25,1991,200,2.213,1.08
2923,12.913,5.6,650,9.78,1991,200,2.213,1.08
4453,8.22,12.56,16698,24.5,1934,110,1.4,1.08
4459,7.787,12.56,16138,26.39,1934,110,1.4,1.08
4462,8.315,12.56,14038,20.13,1934,110,1.4,1.08
4463,7.966,12.56,14228,22.23,1934,110,1.4,1.08
7073,25.649,4.75,1508,11.11,1954,160,1.08,1.08
7074,25.649,4.75,1508,11.11,1954,160,1.08,1.08
8539,30.852,2.9,200,7.33,1900,140,0.72,1.08
9078,18.946,5,661,7.27,1906,160,1.08,1.08
9079,18.946,5,661,7.27,1906,160,1.08,1.08
9080,18.946,5,661,7.27,1906,160,1.08,1.08
15975,6.355,14.75,25077,32.37,1982,160,1.02,1.08
16631,5.574,14.34,20039,37.64,1982,130,1.2,1.08
17782,4.708,12.6,3064,13.53,1997,130,1.36,1.08
17784,4.708,12.6,3064,13.53,1997,130,1.36,1.08
17934,7.341,12.56,9071,16.69,1934,120,1.4,1.08
18105,6.372,14.73,25077,32.37,1982,160,1.02,1.08
18478,7.063,12.56,10778,21.42,1934,120,1.4,1.08
24095,7.304,11.4,5963,16.33,1979,140,1.05,1.08
24209,7.304,11.4,5963,16.33,1979,140,1.05,1.08
31354,4.26,16,7925,16.44,1999,160,1.05,1.08
31414,4.26,16,7925,16.44,1999,160,1.05,1.08
44217,4.667,13.6,4452,14.74,1987,130,1.08,1.08
44483,3.336,17.4,7203,17.42,2011,160,1.08,1.08
47966,3.461,17.4,7541,16.95,2011,160,1.08,1.08
48221,4.667,13.6,4452,14.74,1987,130,1.08,1.08
15064,7.863,9.1,2318,13.49,1936,150,1.056,1.079
20388,4.764,13,3715,14.14,1970,120,1.032,1.078
22215,4.764,13,3715,14.14,1970,120,1.032,1.078
7489,25.059,5.4,2045,9.45,1961,120,1.076,1.076
57362,25.059,5.4,2045,9.45,1961,120,1.076,1.076
20256,6.045,12.7,4651,12.07,1917,250,1.075,1.075
3176,14.12,9,7740,14.6,1915,160,1.054,1.074
6674,8.124,13.1,14753,18.73,1952,160,1.634,1.071
22072,4.798,15.2,7535,15.13,1986,130,1.071,1.071
23170,4.751,15.2,8438,17.28,1986,130,1.071,1.071
3194,3.662,14.442,5192,21.96,1992,100,1.28,1.07
3195,4.634,14.442,8248,21.79,1992,100,1.2,1.07
3890,33.799,4.517,1932,10.024,1965,160,0.81,1.07
3891,33.799,4.517,1932,10.024,1965,160,0.81,1.07
3949,20.237,4.46,463,7.05,1986,160,1.07,1.07
4691,6.372,11.2,4338,16.754,1977,200,1.05,1.07
4692,6.372,11.2,4338,16.754,1977,200,1.05,1.07
5165,17.975,11.33,43029,19.94,1960,200,1.05,1.07
5166,18.034,11.33,43029,19.81,1960,200,1.05,1.07
5466,4.284,16,9006.3,18.48,2002,160,1.16,1.07
5467,4.284,16,9006.3,18.48,2002,160,1.16,1.07
5896,5.478,15.89,16260,20.97,1990,160,1.12,1.07
5897,5.478,15.89,16260,20.97,1990,160,1.12,1.07
7282,9.834,6.2,615,10.62,1978,160,1.07,1.07
7283,9.834,6.2,615,10.62,1978,160,1.07,1.07
10676,7.302,13.6,11066,14.97,1947,140,1.01,1.07
11451,3.906,13.64,3452,16.13,1994,140,1.07,1.07
11452,3.969,13.64,3452,15.62,1994,140,1.07,1.07
11511,2.866,23.8,25063.6,23.46,1992,200,1.07,1.07
11512,2.866,23.8,25063.6,23.46,1992,200,1.07,1.07
11571,3.942,17.22,9797,17.69,1994,160,1.07,1.07
11572,3.942,17.22,9797,17.69,1994,160,1.07,1.07
15270,14.045,8.1,5537,16.09,1966,120,1.12,1.07
15273,14.042,8.1,5572,16.197,1966,120,1.12,1.07
16500,6.436,16.58,50459,39.77,1977,140,1,1.07
18622,6.356,16.58,22446,18.14,1977,140,1,1.07
18623,6.436,16.58,50459,39.77,1977,140,1,1.07
19158,6.356,16.58,22446,18.14,1977,140,1,1.07
19658,23.555,3.5,246,7.29,1959,130,1.07,1.07
21193,14.122,8.83,8043,16.37,1983,110,1.07,1.07
21326,21.432,7.65,5426,8.51,1967,90,1.07,1.07
22201,4.937,13.25,5104,16.76,2001,130,1.07,1.07
22988,14.122,8.83,8043,16.37,1983,110,1.07,1.07
26186,21.432,7.65,5426,8.51,1967,90,1.07,1.07
34377,12.848,7,1807,11.25,1935,130,1.07,1.07
22515,11.903,9,5150,13.67,1972,100,1.074,1.066
23325,2.993,17,4707,15.518,1992,160,1.066,1.066
25497,19.132,7,5838,16.39,1932,120,1.052,1.066
25519,19.132,7,5838,16.39,1932,120,1.052,1.066
25968,2.993,17,4707,15.518,1992,160,1.066,1.066
10841,6.905,11.3,4723,14.99,1976,100,1.13,1.065
10842,6.905,11.3,4723,14.99,1976,100,1.13,1.065
20466,44.406,3.5,1980,16.51,1966,160,0.988,1.064
22394,44.02,3.5,1743,14.79,1966,160,0.988,1.064
12432,21.812,7.1,6159,12.57,1995,160,1.05,1.061
19856,13.413,7.1,2203.2,11.89,1981,120,1.05,1.061
21649,2.807,21.9,14218,19.35,2001,200,1.05,1.061
21936,14.987,7.1,2688,11.62,1985,120,1.05,1.061
22180,16.548,7.1,3136,11.12,1978,120,1.05,1.061
22808,17.029,7.1,2858,9.57,1970,120,1.05,1.061
22840,14.987,7.1,2688,11.62,1985,120,1.05,1.061
23052,16.548,7.1,3136,11.12,1978,120,1.05,1.061
23478,15.672,7.1,3440,13.6,1970,120,1.05,1.061
24451,13.602,7.1,2664,13.98,1991,160,1.05,1.061
25286,16.514,7.1,2758,9.82,1988,120,1.05,1.061
25366,17.029,7.1,2858,9.57,1970,120,1.05,1.061
25657,16.673,7.1,3327,11.62,1991,120,1.05,1.061
25791,16.514,7.1,2758,9.82,1988,120,1.05,1.061
26074,13.602,7.1,2664,13.98,1991,160,1.05,1.061
26390,13.413,7.1,2203.2,11.89,1981,120,1.05,1.061
1684,6.367,13.3,9201,17.9,1972,130,1.01,1.06
5538,5.708,11.6,3291.98,13.77,1983,160,1.99,1.06
5752,10.237,11,5447,8.76,1950,160,1.6,1.06
5753,10.237,11,5447,8.76,1950,160,1.6,1.06
8775,9.628,10.45,8177,18.25,1978,160,1.05,1.06
8776,9.517,10.45,7854,17.94,1978,160,1.05,1.06
9161,7.189,10.4,4209.9,17.18,1991,120,1,1.06
9162,6.625,10.4,4209.9,20.23,1991,120,1,1.06
12277,4.919,16.65,25637,34.02,1998,160,1.06,1.06
19736,16.604,7,4762,17.75,1935,120,1.06,1.06
23513,12.96,7.5,4215,19.57,1966,160,1.07,1.06
23801,29.396,7,16717,19.88,1935,120,1.06,1.06
24545,12.96,7.5,4215,19.57,1966,160,1.07,1.06
25486,71.305,3.1,1766,9.28,1907,140,0.82,1.06
25621,5.07,12.5,3924,15.43,1992,120,1.06,1.06
