ID_AUFTRAG_ZPM,STW_NUM,n0_3,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB,Ssp_Randkonstruktion
3939,10.4,7.435,6083,23.21,1937,120,1.079,0.84,1
3940,2.95,46.431,1913,28.91,1937,120,0.777,0.781,1
3941,2.95,45.664,1913,29.89,1937,120,0.777,0.781,1
3944,14.45,4.369,6469,19.18,1990,130,0.99,1,1
3945,14.45,4.337,6469,19.46,1990,130,0.99,1,0
3946,14.45,4.327,7778,23.51,1990,130,0.99,1,0
3947,14.45,4.377,7005,20.69,1990,130,0.99,1,1
3948,4.46,16.908,375,8.18,1976,160,0.789,0.785,0
3962,7,15.654,4347,18.23,1936,160,0.969,0.97,1
3963,7,15.714,4347,18.09,1936,160,0.969,0.97,1
3976,8.83,8.458,2275.4,12.91,1980,160,1.078,1.056,1
3977,8.83,8.458,2275.4,12.91,1980,160,1.078,1.056,1
3999,8.9,9.229,2106.7,9.726,1928,150,0.879,0.894,1
4000,8.9,9.229,2106.7,9.726,1928,150,0.879,0.894,1
4001,2.8,31.956,138.9,5.46,1930,150,0.78,0.867,1
4002,2.8,31.956,138.9,5.46,1930,150,0.78,0.867,1
4015,8.8,11.598,6977,21.34,1984,280,0.95,0.95,1
4016,8.8,11.881,6646,19.37,1984,280,0.95,0.95,0
4070,16,4.585,11990,21.47,1991,280,1,1,1
4071,16,4.585,11990,21.47,1991,280,1,1,1
4097,13,7.545,14372,21.81,1991,280,1,1,1
4098,13,7.545,14372,21.81,1991,280,1,1,1
4278,11.4,7.889,9373,22,1982,280,1,1,1
4279,11.4,7.889,9373,22,1982,280,1,1,1
4292,5.49,11.65,610.6,12.22,1987,280,0.95,0.95,1
4293,5.49,11.65,610.6,12.22,1987,280,0.95,0.95,0
4303,13.16,5.366,5789,16.54,1985,200,1,1,1
4304,13.16,5.366,5789,16.54,1985,200,1,1,1
4308,10.6,12.632,19196,23.51,1987,120,3.93,3.28,1
4312,10.6,12.632,19196,23.51,1987,120,3.93,3.28,1
4315,13.6,5.32,7693.3,19.603,1991,160,0.99,1,1
4316,13.6,5.32,7693.3,19.603,1991,160,0.99,1,1
4402,4.8,23.749,1450,11.95,1911,60,1.06,1,0
4403,4.8,29.805,1485,7.77,1911,60,1.06,1,0
4452,4.37,23.314,1920,23.9,1934,110,0.9,1.15,1
4453,12.56,8.22,16698,24.5,1934,110,1.4,1.08,0
4454,4.37,25.023,1702,18.39,1934,110,0.9,1.15,0
4455,4.37,25.023,1702,18.39,1934,110,0.9,1.15,0
4456,4.37,23.314,1920,23.9,1934,110,0.9,1.15,1
4457,4.37,22.992,1722,22.04,1934,110,0.9,1.15,0
4458,4.37,22.992,1722,22.04,1934,110,0.9,1.15,0
4459,12.56,7.787,16138,26.39,1934,110,1.4,1.08,1
4460,4.37,23.653,1457,17.62,1934,110,0.9,1.15,0
4461,4.37,23.653,1457,17.62,1934,110,0.9,1.15,0
4462,12.56,8.315,14038,20.13,1934,110,1.4,1.08,0
4463,12.56,7.966,14228,22.23,1934,110,1.4,1.08,0
4495,18,3.344,8532,17.93,1993,110,1.18,1.35,0
4497,18,3.517,9480,18.01,1993,110,1.18,1.35,0
4518,10.7,7.135,3748,13.86,1977,200,0.928,2.209,1
4519,10.7,7.135,3748,13.86,1977,200,0.928,2.209,1
4521,10,5.343,1677.38,14.5,1979,140,1.09,3.42,0
4522,10,5.343,1677.38,14.5,1979,140,1.09,3.42,1
4523,9.9,5.616,1677.38,13.66,1977,200,1.12,3.48,1
4524,9.9,5.59,1677.38,13.79,1977,200,1.12,3.48,0
4542,9.47,7.98,3321,16,2012,160,2.46,1.57,1
4543,9.47,7.98,3321,16,2012,160,2.46,1.57,1
4551,19,3.349,10488,17.7,1998,160,1,1,0
4552,19,3.35,10488,17.69,1998,160,1,1,1
4553,16.94,4.902,16480,20.55,1997,160,1.69,1,1
4554,16.94,4.967,15670,19.03,1997,160,1.69,1,0
4555,17.16,4.652,14983,19.7,1997,160,1.49,1.05,1
4556,17.16,4.703,14284,18.38,1997,160,1.49,1.05,0
4563,20,3.041,11321,18.88,1998,110,1.48,1.17,1
4564,20,3.114,11171,17.77,1998,110,1.48,1.17,0
4571,13.67,5.074,5279,14.49,1974,160,0.72,4,1
4572,13.67,4.976,5544,15.82,1974,160,0.72,4,1
4583,4.6,26.523,914,7.16,1971,80,1.06,1,1
4585,4.6,26.346,859,6.82,1971,80,1.06,1,0
4589,4.5,25.439,1424,13.24,1964,80,0.92,0.92,0
4594,4.5,25.439,1424,13.24,1964,80,1,1,1
4681,3.9,18.099,307.5,10.012,1977,200,0.79,0.79,1
4691,11.2,6.372,4338,16.754,1977,200,1.05,1.07,0
4699,15,4.931,8691,17.42,1998,160,1,1,1
4700,15,5.192,11681,21.12,1998,160,1,1,0
4775,16.9,4.36,9803,15.6,1975,100,1.24,1.1,0
4776,16.9,3.898,8087,16.1,1975,100,1.24,1.1,1
4885,13.66,4.555,4331,14.79,1981,80,1.35,1.05,1
4886,13.66,4.294,5126,19.7,1981,80,1.35,1.05,1
4918,10.8,7.077,4988,18.06,1979,140,1.32,3.8,1
5088,12.924,6.791,11618.4,22.282,1988,280,1.7,1,1
5089,12.924,6.741,11618.4,22.612,1988,280,1.7,1,1
5090,7.1,11.81,1728,12.03,1934,200,1.06,2.1,1
5091,7.1,11.81,1728,12.03,1934,200,1.06,2.1,1
